date,temperatureC,weather
2004-05-18,14.344,Scattered Clouds
2004-05-19,14.052,Partly Cloudy
2004-05-20,13.924999999999999,Mostly Cloudy
2004-05-21,14.48076923076923,Overcast
2004-05-22,14.350000000000001,Overcast
2004-05-23,14.603846153846156,Mostly Cloudy
2004-05-24,15.111999999999998,Mostly Cloudy
2004-05-25,15.832142857142854,Partly Cloudy
2004-05-26,16.416000000000004,Partly Cloudy
2004-05-27,16.364285714285717,Mostly Cloudy
2004-05-28,15.757692307692308,Mostly Cloudy
2004-05-29,15.136000000000001,Clear
2004-05-30,15.716666666666663,Clear
2004-05-31,15.862499999999999,Clear
2004-06-01,15.850000000000001,Clear
2004-06-02,14.640000000000002,Scattered Clouds
2004-06-03,13.946153846153845,Mostly Cloudy
2004-06-04,14.113793103448275,Scattered Clouds
2004-06-05,15.760714285714283,Scattered Clouds
2004-06-06,15.484000000000002,Clear
2004-06-07,14.216000000000001,Partly Cloudy
2004-06-08,13.874999999999995,Scattered Clouds
2004-06-09,14.018749999999997,Mostly Cloudy
2004-06-10,14.352,Overcast
2004-06-11,14.316666666666668,Scattered Clouds
2004-06-12,14.641666666666671,Partly Cloudy
2004-06-13,15.225,Partly Cloudy
2004-06-14,16.329166666666662,Mostly Cloudy
2004-06-15,17.75,Clear
2004-06-16,17.42916666666667,Clear
2004-06-17,17.752,Scattered Clouds
2004-06-18,17.337037037037042,Partly Cloudy
2004-06-19,15.567999999999998,Mostly Cloudy
2004-06-20,13.882758620689653,Mostly Cloudy
2004-06-21,14.59285714285714,Overcast
2004-06-22,15.011538461538457,Scattered Clouds
2004-06-23,15.5962962962963,Overcast
2004-06-24,15.884615384615387,Partly Cloudy
2004-06-25,17.168,Clear
2004-06-26,16.174074074074074,Partly Cloudy
2004-06-27,16.35833333333333,Partly Cloudy
2004-06-28,17.10833333333333,Partly Cloudy
2004-06-29,18.308,Mostly Cloudy
2004-06-30,16.503703703703703,Overcast
2004-07-01,15.534615384615385,Overcast
2004-07-02,16.45,Scattered Clouds
2004-07-03,16.46,Scattered Clouds
2004-07-04,16.914814814814818,Partly Cloudy
2004-07-05,17.003999999999998,Partly Cloudy
2004-07-06,16.796153846153853,Partly Cloudy
2004-07-07,17.323076923076925,Scattered Clouds
2004-07-08,16.896428571428576,Mostly Cloudy
2004-07-09,16.65357142857143,Mostly Cloudy
2004-07-10,15.77307692307692,Partly Cloudy
2004-07-11,15.8125,Partly Cloudy
2004-07-12,15.592307692307697,Scattered Clouds
2004-07-13,16.208000000000002,Overcast
2004-07-14,16.26071428571429,Clear
2004-07-15,17.937500000000004,Clear
2004-07-16,-354.48148148148135,Scattered Clouds
2004-07-17,19.183333333333334,Scattered Clouds
2004-07-18,19.537931034482757,Mostly Cloudy
2004-07-19,19.10833333333333,Mostly Cloudy
2004-07-20,17.3969696969697,Overcast
2004-07-21,17.07142857142857,Partly Cloudy
2004-07-22,17.176923076923075,Partly Cloudy
2004-07-23,17.29310344827586,Mostly Cloudy
2004-07-24,18.72142857142857,Overcast
2004-07-25,17.99259259259259,Partly Cloudy
2004-07-26,16.595999999999997,Partly Cloudy
2004-07-27,17.51153846153846,Partly Cloudy
2004-07-28,17.842307692307692,Partly Cloudy
2004-07-29,17.338461538461544,Partly Cloudy
2004-07-30,17.53703703703704,Mostly Cloudy
2004-07-31,16.11851851851852,Mostly Cloudy
2004-08-01,16.44074074074074,Mostly Cloudy
2004-08-02,16.500000000000004,Overcast
